index;original_date_corrected
NATP00265;10 January 1675
NATP00266;25 January 1675
NATP00267;15 February 1675
NATP00268;26 April 1676
NATP00269;5 September 1676
NATP00270;24 October 1676
NATP00271;September 1676
NATP00272;8 November 1676
NATP00273;18 November 1676
NATP00274;12 October 1678
NATP00275;28 February 1678
NATP00276;14 March 1696
NATP00277;11 February 1696
NATP00278;27 May 1714
NATP00279;3 December 1724
NATP00280;24 February 1715
NATP00281;1718
NATP00283;1713
NATP00284;1710
NATP00287;1675
NATP00288;1713
NATP00289;1713
NATP00290;1713
NATP00291;1713
NATP00292;May 1714
NATP00293;1713
MINT00921;2 May 1696
MINT00922;6 May 1696
MINT00923;8 Jun 1696
MINT00924;16 Jun 1696
MINT00925;10 Dec 1696
MINT00926;1696
MINT00927;6 Feb 1696
MINT00928;6 Jul 1697
MINT00929;19 Oct 1697
MINT00930;18 Aug 1698
MINT00931;1698
MINT00932;1 Oct 1699
MINT00933;21 May 1701
MINT00934;28 Sep 1701
MINT00935;
MINT00937;7 Jul 1702
MINT00941;2 Dec 1702
MINT00942;18 Feb 1702
MINT00944;18 Mar 1702
MINT00946;16 Jun 1703
MINT00947;6 Jan 1703
MINT00948;5 Apr 1705
MINT00949;23 Sep 1706
MINT00950;12 Apr 1707
MINT00951;24 Jun 1707
MINT00952;13 Dec 1707
MINT00954;4 Aug 1708
MINT00953;30 Jun 1708
MINT00955;1705
MINT00956;31 Jan 1709
MINT00957;16 Feb 1709
MINT00958;17 May 1710
MINT00959;4 Oct 1710
MINT00960;2 Feb 1710
MINT00961;14 May 1711
MINT00962;6 Jun 1711
MINT00964;10 Mar 1710
MINT00963;10 Mar 1710
MINT00965;24 Jul 1711
MINT00966;20 Aug 1711
MINT00967;21 Aug 1711
MINT00968;28 Aug 1711
MINT00969;16 Jul 1712
MINT00971;7 Jan 1711
MINT00972;7 Oct 1712
MINT00973;19 Aug 1712
MINT00974;12 Oct 1712
MINT00975;16 Jan 1712
MINT00978;9 Mar 1712
MINT00979;9 Mar 1712
MINT00980;26 Aug 1713
MINT00982;22 Mar 1713
MINT00983;5 Aug 1714
MINT00984;21 Jul 1714
MINT00985;19 Nov 1714
MINT00986;9 Mar 1714
MINT00988;8 Mar 1714
MINT00989;14 Sep 1715
MINT00991;10 Mar 1714
MINT00994;26 May 1716
MINT00995;3 Nov 1716
MINT00996;21 Aug 1716
MINT00997;31 Jul 1717
MINT00998;31 Jul 1717
MINT00999;17 Aug 1717
MINT01000;21 Sep 1717
MINT01001;12 Dec 1717
MINT01002;12 May 1718
MINT01003;11 Feb 1718
MINT01005;15 Apr 1719
MINT01006;12 Apr 1720
MINT01007;5 Jul 1720
MINT01008;20 Oct 1721
MINT01010;11 Oct 1721
MINT01011;19 Dec 1721
MINT01012;19 Dec 1721
MINT01014;26 Jun 1722
